run,dataset,kind,metric,expression,group_value,value
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,impc,3498650
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,europepmc,2442941
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,gwas_credible_sets,1107646
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,expression_atlas,168029
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,clinical_precedence,106998
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,cancer_gene_census,91572
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,eva,39247
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,genomics_england,12183
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,crispr_screen,10951
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,gene_burden,8856
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,orphanet,6681
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,uniprot_literature,6284
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,uniprot_variants,4899
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,gene2phenotype,4745
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,clingen,3958
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,reactome,2930
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,intogen,2595
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,eva_somatic,2315
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,crispr,517
platform-2609-2,association_by_datasource_direct,grouping,datasource,aggregationValue,cancer_biomarkers,469
platform-2609-2,association_by_datasource_direct,scalar,count,,,7522466
platform-2609-2,association_by_datasource_direct,scalar,file_size,,,861231637
platform-2609-2,association_by_datasource_direct,scalar,number_of_partitions,,,14
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,europepmc,8180465
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,impc,7905951
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,gwas_credible_sets,2997795
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,cancer_gene_census,383070
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,clinical_precedence,372927
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,eva,239843
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,expression_atlas,168029
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,genomics_england,105504
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,orphanet,81980
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,uniprot_literature,81662
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,uniprot_variants,64407
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,crispr_screen,54735
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,gene2phenotype,49053
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,clingen,43872
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,gene_burden,32478
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,intogen,29152
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,eva_somatic,28209
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,reactome,20254
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,crispr,7694
platform-2609-2,association_by_datasource_indirect,grouping,datasource,aggregationValue,cancer_biomarkers,5336
platform-2609-2,association_by_datasource_indirect,scalar,count,,,20852416
platform-2609-2,association_by_datasource_indirect,scalar,file_size,,,2732458731
platform-2609-2,association_by_datasource_indirect,scalar,number_of_partitions,,,43
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,animal_model,3498650
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,literature,2442941
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,genetic_association,1152812
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,rna_expression,168029
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,known_drug,106998
platform-2609-2,association_by_datatype_direct,grouping,datatype,aggregationValue,somatic_mutation,94749
