run,dataset,kind,metric,expression,group_value,value
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,europepmc,2510811
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,gwas_credible_sets,949600
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,impc,838318
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,expression_atlas,166503
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,cancer_gene_census,91572
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,clinical_precedence,66282
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,eva,41347
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,genomics_england,12536
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,crispr_screen,10960
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,gene_burden,7729
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,orphanet,7232
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,uniprot_literature,6574
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,uniprot_variants,5126
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,gene2phenotype,4915
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,clingen,3824
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,reactome,2928
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,intogen,2595
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,eva_somatic,2373
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,crispr,517
26.03-test5,association_by_datasource_direct,grouping,datasource,aggregationValue,cancer_biomarkers,469
26.03-test5,association_by_datasource_direct,scalar,count,,,4732211
26.03-test5,association_by_datasource_direct,scalar,file_size,,,655362472
26.03-test5,association_by_datasource_direct,scalar,number_of_partitions,,,53
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,europepmc,8246446
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,gwas_credible_sets,2622428
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,impc,2461182
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,cancer_gene_census,382883
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,clinical_precedence,259530
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,eva,228202
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,expression_atlas,166503
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,genomics_england,99619
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,orphanet,74195
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,uniprot_literature,73310
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,uniprot_variants,57366
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,crispr_screen,50614
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,gene2phenotype,45286
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,clingen,39587
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,intogen,28827
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,eva_somatic,27621
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,gene_burden,25546
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,reactome,19537
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,crispr,7486
26.03-test5,association_by_datasource_indirect,grouping,datasource,aggregationValue,cancer_biomarkers,5243
26.03-test5,association_by_datasource_indirect,scalar,count,,,14921411
26.03-test5,association_by_datasource_indirect,scalar,file_size,,,2579684447
26.03-test5,association_by_datasource_indirect,scalar,number_of_partitions,,,206
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,literature,2510811
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,genetic_association,997062
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,animal_model,838318
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,rna_expression,166503
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,somatic_mutation,94789
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,known_drug,66282
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,genetic_literature,17323
26.03-test5,association_by_datatype_direct,grouping,datatype,aggregationValue,affected_pathway,14820
26.03-test5,association_by_datatype_direct,scalar,count,,,4705908
26.03-test5,association_by_datatype_direct,scalar,file_size,,,651994922
26.03-test5,association_by_datatype_direct,scalar,number_of_partitions,,,52
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,literature,8246446
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,genetic_association,2823514
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,animal_model,2461182
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,somatic_mutation,406376
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,known_drug,259530
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,rna_expression,166503
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,genetic_literature,123072
26.03-test5,association_by_datatype_indirect,grouping,datatype,aggregationValue,affected_pathway,80993
26.03-test5,association_by_datatype_indirect,scalar,count,,,14567616
26.03-test5,association_by_datatype_indirect,scalar,file_size,,,2521892963
26.03-test5,association_by_datatype_indirect,scalar,number_of_partitions,,,200
26.03-test5,association_overall_direct,scalar,count,,,4508002
26.03-test5,association_overall_direct,scalar,file_size,,,633763096
26.03-test5,association_overall_direct,scalar,number_of_partitions,,,43
26.03-test5,association_overall_indirect,scalar,count,,,12466856
26.03-test5,association_overall_indirect,scalar,file_size,,,2217540168
26.03-test5,association_overall_indirect,scalar,number_of_partitions,,,143
26.03-test5,biosample,scalar,count,,,35744
26.03-test5,biosample,scalar,file_size,,,8254341
26.03-test5,biosample,scalar,number_of_partitions,,,1
26.03-test5,clinical_indication,scalar,count,,,53950
26.03-test5,clinical_indication,scalar,file_size,,,3453490
26.03-test5,clinical_indication,scalar,number_of_partitions,,,1
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_2,63105
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_1,49053
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,UNKNOWN,39393
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_3,38277
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_4,29917
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,APPROVAL,29502
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_1_2,15701
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PHASE_2_3,6106
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,EARLY_PHASE_1,4703
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,IND,4626
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PRECLINICAL,3812
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,WITHDRAWAL,858
26.03-test5,clinical_report,grouping,clinicalStage,clinicalStage,PREAPPROVAL,160
26.03-test5,clinical_report,scalar,count,,,285213
26.03-test5,clinical_report,scalar,file_size,,,74933170
26.03-test5,clinical_report,scalar,number_of_partitions,,,1
26.03-test5,clinical_target,scalar,count,,,13407
26.03-test5,clinical_target,scalar,file_size,,,2776591
26.03-test5,clinical_target,scalar,number_of_partitions,,,1
26.03-test5,colocalisation,grouping,studyTypePair,"concat('gwas-', rightStudyType)",gwas-gwas,167048267
26.03-test5,colocalisation,grouping,studyTypePair,"concat('gwas-', rightStudyType)",gwas-eqtl,28944408
